
        X res  30, Y res  40

                  Eye

             x     y     z 

           0.50  0.50 -1.00

                 Rays

   x   y     x     y     z    mag

   3  19  -0.37  0.12  0.92  1.00
   3  20  -0.37  0.15  0.92  1.00
   3  21  -0.37  0.18  0.91  1.00
   3  22  -0.36  0.21  0.91  1.00
   3  23  -0.36  0.24  0.90  1.00
   3  24  -0.36  0.27  0.89  1.00
   3  25  -0.35  0.30  0.89  1.00
   3  26  -0.35  0.32  0.88  1.00
   3  27  -0.35  0.35  0.87  1.00
   3  28  -0.34  0.37  0.86  1.00
   3  29  -0.34  0.40  0.85  1.00
   3  30  -0.34  0.42  0.84  1.00
   3  31  -0.33  0.44  0.83  1.00
   3  32  -0.33  0.47  0.82  1.00
   3  33  -0.32  0.49  0.81  1.00
   3  34  -0.32  0.51  0.80  1.00
   3  35  -0.32  0.53  0.79  1.00
   3  36  -0.31  0.54  0.78  1.00
   3  37  -0.31  0.56  0.77  1.00
   3  38  -0.30  0.58  0.76  1.00
   3  39  -0.30  0.60  0.75  1.00

   4   0  -0.31 -0.42  0.85  1.00
   4   1  -0.32 -0.40  0.86  1.00
   4   2  -0.32 -0.38  0.87  1.00
   4   3  -0.32 -0.35  0.88  1.00
   4   4  -0.33 -0.33  0.89  1.00
   4   5  -0.33 -0.30  0.90  1.00
   4   6  -0.33 -0.27  0.90  1.00
   4   7  -0.33 -0.24  0.91  1.00
   4   8  -0.34 -0.21  0.92  1.00
   4   9  -0.34 -0.18  0.92  1.00
   4  10  -0.34 -0.15  0.93  1.00
   4  11  -0.34 -0.12  0.93  1.00
   4  12  -0.34 -0.09  0.93  1.00
   4  13  -0.34 -0.06  0.94  1.00
   4  14  -0.34 -0.03  0.94  1.00
   4  15  -0.34  0.00  0.94  1.00
   4  16  -0.34  0.03  0.94  1.00
   4  17  -0.34  0.06  0.94  1.00
   4  18  -0.34  0.09  0.93  1.00
   4  19  -0.34  0.12  0.93  1.00
   4  20  -0.34  0.15  0.93  1.00
   4  21  -0.34  0.18  0.92  1.00
   4  22  -0.34  0.21  0.92  1.00
   4  23  -0.33  0.24  0.91  1.00
   4  24  -0.33  0.27  0.90  1.00
   4  25  -0.33  0.30  0.90  1.00
   4  26  -0.33  0.33  0.89  1.00
   4  27  -0.32  0.35  0.88  1.00
   4  28  -0.32  0.38  0.87  1.00
   4  29  -0.32  0.40  0.86  1.00
   4  30  -0.31  0.42  0.85  1.00
   4  31  -0.31  0.45  0.84  1.00
   4  32  -0.30  0.47  0.83  1.00
   4  33  -0.30  0.49  0.82  1.00
   4  34  -0.30  0.51  0.81  1.00
   4  35  -0.29  0.53  0.80  1.00
   4  36  -0.29  0.55  0.78  1.00
   4  37  -0.28  0.57  0.77  1.00
   4  38  -0.28  0.58  0.76  1.00
   4  39  -0.28  0.60  0.75  1.00

   5   0  -0.29 -0.43  0.86  1.00
   5   1  -0.29 -0.40  0.87  1.00
   5   2  -0.29 -0.38  0.88  1.00
   5   3  -0.30 -0.35  0.89  1.00
   5   4  -0.30 -0.33  0.90  1.00
   5   5  -0.30 -0.30  0.90  1.00
   5   6  -0.30 -0.27  0.91  1.00
   5   7  -0.31 -0.25  0.92  1.00
   5   8  -0.31 -0.22  0.93  1.00
   5   9  -0.31 -0.19  0.93  1.00
   5  10  -0.31 -0.16  0.94  1.00
   5  11  -0.31 -0.13  0.94  1.00
   5  12  -0.31 -0.09  0.94  1.00
   5  13  -0.32 -0.06  0.95  1.00
   5  14  -0.32 -0.03  0.95  1.00
   5  15  -0.32  0.00  0.95  1.00
   5  16  -0.32  0.03  0.95  1.00
   5  17  -0.32  0.06  0.95  1.00
   5  18  -0.31  0.09  0.94  1.00
   5  19  -0.31  0.13  0.94  1.00
   5  20  -0.31  0.16  0.94  1.00
   5  21  -0.31  0.19  0.93  1.00
   5  22  -0.31  0.22  0.93  1.00
   5  23  -0.31  0.25  0.92  1.00
   5  24  -0.30  0.27  0.91  1.00
   5  25  -0.30  0.30  0.90  1.00
   5  26  -0.30  0.33  0.90  1.00
   5  27  -0.30  0.35  0.89  1.00
   5  28  -0.29  0.38  0.88  1.00
   5  29  -0.29  0.40  0.87  1.00
   5  30  -0.29  0.43  0.86  1.00
   5  31  -0.28  0.45  0.85  1.00
   5  32  -0.28  0.47  0.84  1.00
   5  33  -0.27  0.49  0.82  1.00
   5  34  -0.27  0.52  0.81  1.00
   5  35  -0.27  0.53  0.80  1.00
   5  36  -0.26  0.55  0.79  1.00
   5  37  -0.26  0.57  0.78  1.00
   5  38  -0.26  0.59  0.77  1.00
   5  39  -0.25  0.60  0.76  1.00

   6   0  -0.26 -0.43  0.86  1.00
   6   1  -0.26 -0.41  0.87  1.00
   6   2  -0.27 -0.38  0.88  1.00
   6   3  -0.27 -0.36  0.89  1.00
   6   4  -0.27 -0.33  0.90  1.00
   6   5  -0.27 -0.30  0.91  1.00
   6   6  -0.28 -0.28  0.92  1.00
   6   7  -0.28 -0.25  0.93  1.00
   6   8  -0.28 -0.22  0.93  1.00
   6   9  -0.28 -0.19  0.94  1.00
   6  10  -0.28 -0.16  0.95  1.00
   6  11  -0.29 -0.13  0.95  1.00
   6  12  -0.29 -0.10  0.95  1.00
   6  13  -0.29 -0.06  0.96  1.00
   6  14  -0.29 -0.03  0.96  1.00
   6  15  -0.29  0.00  0.96  1.00
   6  16  -0.29  0.03  0.96  1.00
   6  17  -0.29  0.06  0.96  1.00
   6  18  -0.29  0.10  0.95  1.00
   6  19  -0.29  0.13  0.95  1.00
   6  20  -0.28  0.16  0.95  1.00
   6  21  -0.28  0.19  0.94  1.00
   6  22  -0.28  0.22  0.93  1.00
   6  23  -0.28  0.25  0.93  1.00
   6  24  -0.28  0.28  0.92  1.00
   6  25  -0.27  0.30  0.91  1.00
   6  26  -0.27  0.33  0.90  1.00
   6  27  -0.27  0.36  0.89  1.00
   6  28  -0.27  0.38  0.88  1.00
   6  29  -0.26  0.41  0.87  1.00
   6  30  -0.26  0.43  0.86  1.00
   6  31  -0.26  0.45  0.85  1.00
   6  32  -0.25  0.48  0.84  1.00
   6  33  -0.25  0.50  0.83  1.00
   6  34  -0.25  0.52  0.82  1.00
   6  35  -0.24  0.54  0.81  1.00
   6  36  -0.24  0.56  0.80  1.00
   6  37  -0.24  0.57  0.78  1.00
   6  38  -0.23  0.59  0.77  1.00
   6  39  -0.23  0.61  0.76  1.00

